provider,task,tag,n,chrf,multilingual_bertscore_f1
gemini,code_mixed_normalization,assistantship,1,0.2887000855096604,0.9876055587819441
gemini,code_mixed_normalization,code_mixed,20,0.2578377021669266,0.9878197803728648
gemini,code_mixed_normalization,community_support,1,0.28780776842561423,0.9848825821619513
gemini,code_mixed_normalization,cv,1,0.1453550600474698,0.987796438713512
gemini,code_mixed_normalization,documents,1,0.22061586830119434,0.9907937193854738
gemini,code_mixed_normalization,email,1,0.26614555816004737,0.9869156812615592
gemini,code_mixed_normalization,funding,1,0.13847910690400567,0.9850703972496565
gemini,code_mixed_normalization,gradcafe,1,0.17424929067477,0.9847508798104171
gemini,code_mixed_normalization,international,1,0.4514016594959979,0.9885146023255078
gemini,code_mixed_normalization,interview,1,0.21399127156125478,0.9924172612483976
gemini,code_mixed_normalization,letters,1,0.20235811354396682,0.9898816117668373
gemini,code_mixed_normalization,masters_to_phd,1,0.40058611066878,0.9910394127690232
gemini,code_mixed_normalization,named_entity,2,0.3185250024196602,0.9901189073065897
gemini,code_mixed_normalization,rejection,1,0.23044122727703542,0.9879860957116119
gemini,code_mixed_normalization,school_list,1,0.3562282946663589,0.9879107521869525
gemini,code_mixed_normalization,slang,2,0.25197122051731463,0.98586602161988
gemini,code_mixed_normalization,sop,1,0.37387512952436436,0.9921506695169149
gemini,code_mixed_normalization,timeline,1,0.08297282199202541,0.9848470561713516
gemini,code_mixed_normalization,waitlist,1,0.18255423071203752,0.9818630305432478
gemini,cross_lingual_qa,absent,1,0.5039370657863381,0.9916409973886754
gemini,cross_lingual_qa,community,1,0.06452670452441296,0.9820910436939241
gemini,cross_lingual_qa,documents,1,0.1336621551512155,0.9845980298922027
gemini,cross_lingual_qa,email,1,0.11255083570160179,0.9815557603360787
gemini,cross_lingual_qa,emotion,1,0.11924487877978113,0.985031502689306
gemini,cross_lingual_qa,funding,1,0.07330682997168673,0.9833665100264776
gemini,cross_lingual_qa,gradcafe,1,0.1157841092505863,0.98324298662098
gemini,cross_lingual_qa,international,1,0.25331977335235045,0.9854074027258595
gemini,cross_lingual_qa,interview,1,0.16798045333246647,0.983989762011369
gemini,cross_lingual_qa,letters,1,0.1976249858833249,0.9834893133429436
gemini,cross_lingual_qa,low_gpa,1,0.09159473415772208,0.983888032128695
gemini,cross_lingual_qa,masters_to_phd,1,0.052602686547543576,0.9807080228165553
gemini,cross_lingual_qa,missing_materials,1,0.0727439548102791,0.9838666307160608
gemini,cross_lingual_qa,mscs,1,0.07750879027307798,0.9773329668648674
gemini,cross_lingual_qa,multiple_admits,1,0.13779523391574386,0.9837292476494438
gemini,cross_lingual_qa,phd,2,0.07702330492138554,0.9831038886983466
gemini,cross_lingual_qa,privacy,1,0.1839707251025121,0.9840234569238238
gemini,cross_lingual_qa,professors,1,0.11255083570160179,0.9815557603360787
gemini,cross_lingual_qa,profile_review,1,0.11436386855174956,0.9830719629358246
gemini,cross_lingual_qa,research_fit,1,0.10144392329522749,0.9854997545801379
gemini,cross_lingual_qa,school_list,1,0.0951405874939398,0.9823993571458542
gemini,cross_lingual_qa,timeline,1,0.12653398795535084,0.9816912407212316
gemini,summarization,community_support,1,0.12600283267172044,0.9815614597802429
gemini,summarization,cv,1,0.06854780782091842,0.9837633797763856
gemini,summarization,email,1,0.05827336437668681,0.9840770802962174
gemini,summarization,funding,1,0.08861113475081507,0.9851701796528289
gemini,summarization,gradcafe,1,0.06316692357531258,0.9837392115801153
gemini,summarization,international,1,0.17456394659944638,0.9866320584389048
gemini,summarization,interview,1,0.06997164551848582,0.9816809117506714
gemini,summarization,letters,1,0.14970474866440883,0.9807271512366665
gemini,summarization,low_gpa,1,0.027985324300627074,0.9793336706134615
gemini,summarization,masters_to_phd,1,0.09961337475464539,0.9853321129026159
gemini,summarization,missing_materials,1,0.030013762663976547,0.97912097931698
gemini,summarization,mscs,1,0.0625018817569072,0.983628811053267
gemini,summarization,multiple_admits,1,0.17468551258575113,0.9854264831348223
gemini,summarization,phd,2,0.109598262728916,0.9850760406245357
gemini,summarization,professors,1,0.05827336437668681,0.9840770802962174
gemini,summarization,profile_review,1,0.06854780782091842,0.9837633797763856
gemini,summarization,program_selection,1,0.08726703088746278,0.9823998889220406
gemini,summarization,rejection,1,0.053082748665070165,0.9824785519789312
gemini,summarization,research_fit,1,0.1195831507031866,0.9848199683464555
gemini,summarization,scholarship,1,0.09242927681347521,0.9825783994686591
gemini,summarization,sop,1,0.0703867564985957,0.9847357878428163
gemini,summarization,unfunded_masters,1,0.03196274181784979,0.9808108548071196
gemini,summarization,waiting,1,0.06316692357531258,0.9837392115801153
gemini,summarization,waitlist,1,0.06235537205267935,0.9836996259003281
gemini,translation,admit,1,0.3353788917110277,0.990199694460951
gemini,translation,assistantship,2,0.33070271587545536,0.9903445167207118
gemini,translation,choice,1,0.37893831339694206,0.9885781618156129
